date,order_number,order_diff
2022-01-16,76239671,-754586.0
2022-01-17,75614972,-624699.0
2022-01-24,74398135,-3161626.0
2022-01-25,76918800,-695354.0
2022-01-26,76464269,-454531.0
2022-01-29,4279642,-72184627.0
2022-01-30,77574799,-271805.0
2022-02-07,78060360,-8184.0
2022-02-11,754349,-77306011.0
2022-02-15,77695242,-641326.0
2022-02-18,78144778,-294806.0
2022-02-21,1837190,-76655168.0
2022-02-25,4389757,-74152037.0
2022-03-01,78263309,-522558.0
2022-03-04,628634,-77634675.0
2022-03-08,78078718,-933871.0
2022-03-11,79095859,-15122.0
2022-03-12,77206836,-1889023.0
2022-03-16,79053702,-229065.0
2022-03-21,78942251,-497407.0
2022-03-26,78957804,-626934.0
2022-03-28,80288,-79602699.0
2022-03-30,79597960,-133453.0
2022-04-02,4449230,-75358452.0
2022-04-04,73242872,-6361335.0
2022-04-06,79692703,-258356.0
2022-04-07,37971290,-42103275.0
2022-04-10,80073891,-73862.0
2022-04-15,80115307,-176815.0
2022-04-17,79208916,-920388.0
2022-04-21,80010988,-458500.0
2022-04-22,78270297,-2285474.0
2022-04-24,11337408,-69249743.0
2022-06-28,82632637,-355201.0
