quarter,total_orders,total_spend_index,weekly_active_users_index,spend_per_user
2018Q1,12,1.02032775627461,2.2127047155878525,0.46112242139075393
2018Q2,25,3.9070972875882575,5.0810924929588195,0.7689482710662247
2018Q3,23,9.063225181782231,12.991272021250557,0.6976395511507266
2018Q4,37,15.17965657516297,19.68923916337087,0.7709620696467865
2019Q1,25,13.636270181990024,25.006123063270266,0.5453172467994202
2019Q2,32,23.90939583499168,32.19438342972459,0.7426573609394395
2019Q3,29,27.290086394078813,41.536803235960946,0.6570097905476779
2019Q4,33,45.26328388338889,54.22873982002902,0.8346733491061358
2020Q1,35,42.68746037226905,73.60953076401734,0.579917572211125
2020Q2,21,82.65525779789459,99.06838445639846,0.8343252819901636
2020Q3,54,112.56984701347533,130.6455394929875,0.8616432482145141
2020Q4,30,154.92603895700557,150.08339233982022,1.0322663723259973
2021Q1,15,148.97011548664648,161.8026227916642,0.9206903628407758
2021Q2,28,201.18391751419207,180.44387129786853,1.1149390448517191
2021Q3,35,195.03951526524202,190.38361066218505,1.0244553855600436
2021Q4,34,243.96686176002356,204.09752125560772,1.195344560086471
2022Q1,40,206.64596199823342,215.73167465403515,0.9578841972539622
2022Q2,30,243.11078798547624,203.62160305582853,1.1939341618817363
2022Q3,30,184.76886140162023,184.77382408640509,0.9999731418407916
2022Q4,69,165.26413240460627,157.63633743045756,1.048388557476564
